Дата	Игра	Просм	URL	Название	Preview
27.01.2017 12:51:30	Dota 2	24	https://clips.twitch.tv/DistinctVictoriousSnoodDoggo	♥♥♥С ДНЁМ РОЖДЕНИЯ МЕНЯ♥♥♥ ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/vod-117448952-offset-360-preview-480x272.jpg
12.12.2016 21:34:03	osu!	24	https://clips.twitch.tv/IntelligentHomelyCheetahDatBoi	Самая грустная на твиче	https://clips-media-assets2.twitch.tv/23915926144-offset-3076-preview-480x272.jpg
21.03.2017 19:19:49	Talk Shows	22	https://clips.twitch.tv/FastBoxyOtterBCouch	❤️	https://clips-media-assets2.twitch.tv/-921617536-offset-4128-preview-480x272.jpg
12.03.2017 18:19:05	Dota 2	20	https://clips.twitch.tv/CaringShortMonitorPJSugar	❤️ Н Е У Д А Ч Н И Ц А ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24768555456-offset-1844-preview-480x272.jpg
06.02.2017 15:25:58	Resident Evil 7 biohazard	20	https://clips.twitch.tv/CogentEnthusiasticAlfalfaPipeHype	Самая тамблер на твиче ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24450879280-offset-4322-preview-480x272.jpg
15.01.2017 16:03:21	osu!	20	https://clips.twitch.tv/DirtySillyRaisinMau5	12 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24246981088-offset-1902-preview-480x272.jpg
21.12.2016 21:15:51	The Sims 3	20	https://clips.twitch.tv/OilyCarefulPenguinTooSpicy	ˁ˚ᴥ˚ˀ (сигна за саб)	https://clips-media-assets2.twitch.tv/23994134336-offset-19360-preview-480x272.jpg
21.12.2016 19:55:20	The Sims 3	20	https://clips.twitch.tv/EnticingLongGorillaDoggo	ˁ˚ᴥ˚ˀ (сигна за саб)	https://clips-media-assets2.twitch.tv/23994134336-offset-14524-preview-480x272.jpg
27.02.2017 21:58:20	Dota 2	19	https://clips.twitch.tv/KindBreakablePangolinNinjaGrumpy	❤️ самая красивая на твиче ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24648395328-offset-6572-preview-480x272.jpg
29.11.2016 16:10:11	Talk Shows	19	https://clips.twitch.tv/HomelyPeacefulCatFunRun	болею ○ Сигна за саб	https://clips-media-assets2.twitch.tv/23791840864-offset-4436-preview-480x272.jpg
12.02.2017 16:24:33	Dota 2	18	https://clips.twitch.tv/TrustworthyLovelyCobraBCouch	1-10 (slow) 10-50 (medium)  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24508240224-offset-3148-preview-480x272.jpg
29.01.2017 18:29:09	Counter-Strike: Global Offensive	18	https://clips.twitch.tv/FaintFurtiveTapirHeyGirl	ASMR SeemsGood	https://clips-media-assets2.twitch.tv/24377684544-offset-3348-preview-480x272.jpg
27.01.2017 16:31:37	Dota 2	18	https://clips.twitch.tv/ScrumptiousConfidentDaikonPeanutButterJellyTime	♥♥♥С ДНЁМ РОЖДЕНИЯ МЕНЯ♥♥♥ ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24354785120-offset-1362-preview-480x272.jpg
22.01.2017 14:12:58	Dota 2	18	https://clips.twitch.tv/EphemeralGrotesqueSaladDoggo	4 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24309495536-offset-1106-preview-480x272.jpg
13.12.2016 20:34:25	Dota 2	18	https://clips.twitch.tv/PeacefulHeartlessChimpanzeePeanutButterJellyTime	Самая грустная на твиче	https://clips-media-assets2.twitch.tv/23923355984-offset-3156-preview-480x272.jpg
13.03.2017 18:14:41	In Verbis Virtus	17	https://clips.twitch.tv/RepleteSweetWeaselHumbleLife	❤️ Н Е У Д А Ч Н И Ц А ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24775773584-offset-18182-preview-480x272.jpg
10.02.2017 16:43:13	Dead by Daylight	17	https://clips.twitch.tv/GlamorousProudCattleANELE	SAD ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24485304336-offset-7478-preview-480x272.jpg
10.01.2017 22:07:17	Through the Woods	17	https://clips.twitch.tv/EagerPoliteJuiceGivePLZ	16 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24200282960-offset-15462-preview-480x272.jpg
23.12.2016 07:15:35	Dota 2	17	https://clips.twitch.tv/TallLittleOpossumPeoplesChamp	ˁ˚ᴥ˚ˀ (сигна за саб)	https://clips-media-assets2.twitch.tv/vod-109185243-offset-4456-preview-480x272.jpg
20.03.2017 14:40:24	Dota 2	16	https://clips.twitch.tv/CrackyFaintShrewFUNgineer	почему так холодно? ❤️	https://clips-media-assets2.twitch.tv/24838666304-offset-3736-preview-480x272.jpg
16.02.2017 17:25:59	Counter-Strike: Global Offensive	16	https://clips.twitch.tv/SplendidShortPeanutFUNgineer	СПАСИБО ЗА 16 ЛИМОНОВ ПРОСМОТРОВ мышка  ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24543019536-offset-12982-preview-480x272.jpg
14.02.2017 22:09:57	Dead by Daylight	16	https://clips.twitch.tv/RichCarelessAlpacaEleGiggle	Хули меня	https://clips-media-assets2.twitch.tv/24528538800-offset-10612-preview-480x272.jpg
27.01.2017 16:16:28	Dota 2	16	https://clips.twitch.tv/SuperExuberantOrangeGivePLZ	♥♥♥С ДНЁМ РОЖДЕНИЯ МЕНЯ♥♥♥ ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24354785120-offset-472-preview-480x272.jpg
11.01.2017 20:24:08	Counter-Strike: Global Offensive	16	https://clips.twitch.tv/SmallTenaciousScallionWholeWheat	15 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24208614784-offset-13870-preview-480x272.jpg
04.04.2017 23:38:55	PLAYERUNKNOWN'S BATTLEGROUNDS	15	https://clips.twitch.tv/SpoopyNimbleJaguarBudStar	принцесса мида / СПАСИБО ЗА 30 К В ГРУППЕ	https://clips-media-assets2.twitch.tv/24969812816-offset-4168-preview-480x272.jpg
22.03.2017 20:41:15	Dota 2	15	https://clips.twitch.tv/ColdbloodedPoliteHerdSwiftRage	❤️	https://clips-media-assets2.twitch.tv/24857235040-offset-2848-preview-480x272.jpg
15.03.2017 17:51:52	Games + Demos	15	https://clips.twitch.tv/ChillyMushyCockroachShazBotstix	❤️ ЛЮБОВЬ	https://clips-media-assets2.twitch.tv/24794210304-offset-14240-preview-480x272.jpg
01.03.2017 12:48:40	Dead Space 3	15	https://clips.twitch.tv/GleamingMushyKuduVoteNay	❤️ самая красивая на твиче ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24663071840-offset-492-preview-480x272.jpg
19.12.2016 17:42:09	Dota 2	15	https://clips.twitch.tv/HelplessBlatantShingleTakeNRG	ˁ˚ᴥ˚ˀ	https://clips-media-assets2.twitch.tv/23975824224-offset-10516-preview-480x272.jpg
15.12.2016 21:34:58	Dota 2	15	https://clips.twitch.tv/SecretiveSwissBeefTooSpicy	B O L b	https://clips-media-assets2.twitch.tv/23939508368-offset-20020-preview-480x272.jpg
01.12.2016 19:31:39	Dota 2	15	https://clips.twitch.tv/RealSavorySwallowVoteYea	#nomakeup ○ Сигна за саб	https://clips-media-assets2.twitch.tv/23809339712-offset-5700-preview-480x272.jpg
21.03.2017 23:04:00	Counter-Strike: Global Offensive	14	https://clips.twitch.tv/DarkSlipperyBillSmoocherZ	❤️	https://clips-media-assets2.twitch.tv/24848186240-offset-17584-preview-480x272.jpg
21.03.2017 22:58:07	Counter-Strike: Global Offensive	14	https://clips.twitch.tv/SpineyProductiveAsparagusSSSsss	❤️	https://clips-media-assets2.twitch.tv/24848186240-offset-17228-preview-480x272.jpg
21.03.2017 16:19:45	Dota 2	14	https://clips.twitch.tv/UninterestedCrunchySardineDAESuppy	❤️	https://clips-media-assets2.twitch.tv/24846796304-offset-6812-preview-480x272.jpg
05.02.2017 17:42:14	Dead by Daylight	14	https://clips.twitch.tv/EntertainingWittyKaleBCouch	Самая тамблер на твичеˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24441394672-offset-17862-preview-480x272.jpg
15.01.2017 22:10:10	Harry Potter and the Philosopher's Stone	14	https://clips.twitch.tv/BitterExuberantFrogBIRB	12 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24246981088-offset-23912-preview-480x272.jpg
28.12.2016 18:05:22	Dota 2	14	https://clips.twitch.tv/ObservantMistyRingWoofer	 ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24061334096-offset-3560-preview-480x272.jpg
28.11.2016 15:07:56	Dota 2	14	https://clips.twitch.tv/PeppyHomelyAlfalfaBleedPurple	болею ○ Сигна за саб	https://clips-media-assets2.twitch.tv/23783417392-offset-5844-preview-480x272.jpg
02.04.2017 08:36:01	IRL	13	https://clips.twitch.tv/InexpensiveDeterminedIguanaRaccAttack	❤️ ПРИНЦЕССА МИДА	https://clips-media-assets2.twitch.tv/vod-132830747-offset-664-preview-480x272.jpg
14.02.2017 20:26:00	Dota 2	13	https://clips.twitch.tv/GrotesqueEncouragingFalconSwiftRage	твоя грустная валентинка  ˁ˚ᴥ˚ˀ  (закос под Нуру из Skam)	https://clips-media-assets2.twitch.tv/24528538800-offset-4378-preview-480x272.jpg
11.01.2017 21:18:12	Counter-Strike: Global Offensive	13	https://clips.twitch.tv/HorribleSpikyStorkPraiseIt	15 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24208614784-offset-17112-preview-480x272.jpg
10.01.2017 17:11:52	Counter-Strike: Global Offensive	13	https://clips.twitch.tv/DepressedModernTraySmoocherZ	16 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24199585408-offset-3406-preview-480x272.jpg
25.12.2016 16:29:51	The Forest	13	https://clips.twitch.tv/HorribleDaintyPuffinTheRinger	6 ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24029752480-offset-4866-preview-480x272.jpg
21.03.2017 21:59:32	Counter-Strike: Global Offensive	12	https://clips.twitch.tv/TsundereQuaintArmadilloKlappa	❤️	https://clips-media-assets2.twitch.tv/24848186240-offset-13712-preview-480x272.jpg
12.03.2017 22:08:32	In Verbis Virtus	12	https://clips.twitch.tv/ObliviousUnsightlyLaptopANELE	❤️ Н Е У Д А Ч Н И Ц А ˁ˚ᴥ˚ˀ 	https://clips-media-assets2.twitch.tv/24770176672-offset-6126-preview-480x272.jpg
27.01.2017 18:08:59	Dota 2	12	https://clips.twitch.tv/BeautifulCuriousTriangleMikeHogu	♥♥♥С ДНЁМ РОЖДЕНИЯ МЕНЯ♥♥♥ ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24354785120-offset-7224-preview-480x272.jpg
23.01.2017 17:50:23	Counter-Strike: Global Offensive	11	https://clips.twitch.tv/EmpathicSoftTigerKappaClaus	3 дней  ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24319205616-offset-8004-preview-480x272.jpg
01.04.2017 20:24:13	PLAYERUNKNOWN'S BATTLEGROUNDS	10	https://clips.twitch.tv/EnticingAltruisticAmazonTBTacoLeft	❤️ ПРИНЦЕССА МИДА	https://clips-media-assets2.twitch.tv/24943243392-offset-3484-preview-480x272.jpg
27.03.2017 17:23:14	osu!	10	https://clips.twitch.tv/HappyProtectiveRhinocerosShazBotstix	❤️	https://clips-media-assets2.twitch.tv/24899602480-offset-2670-preview-480x272.jpg
21.03.2017 15:06:27	Dota 2	10	https://clips.twitch.tv/TalentedCaringPelicanMingLee	❤️	https://clips-media-assets2.twitch.tv/24846796304-offset-2412-preview-480x272.jpg
24.02.2017 21:19:40	Talk Shows	10	https://clips.twitch.tv/PleasantBumblingToothSSSsss	❤️ Сегодня я победю ˁ˚ᴥ˚ˀ	https://clips-media-assets2.twitch.tv/24618614400-offset-3644-preview-480x272.jpg
05.02.2017 17:38:03	Dead by Daylight	10	https://clips.twitch.tv/FunFragileChimpanzeeLitFam	Самая тамблер на твичеˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24441394672-offset-17608-preview-480x272.jpg
29.01.2017 19:09:47	Counter-Strike: Global Offensive	10	https://clips.twitch.tv/CooperativeInspiringConsoleNerfBlueBlaster	кто простыл тот я ˁ˚ᴥ˚ˀ  	https://clips-media-assets2.twitch.tv/24377684544-offset-5782-preview-480x272.jpg
24.01.2017 21:56:27	Counter-Strike: Global Offensive	10	https://clips.twitch.tv/BovineInquisitiveDragonflyKippa	2 дня до марафона на др  ˁ˚ᴥ˚ˀ  ( доня пидр)	https://clips-media-assets2.twitch.tv/24330589200-offset-2934-preview-480x272.jpg
09.04.2017 21:18:06	Creative	9	https://clips.twitch.tv/MushyDepressedCrowPunchTrees	DRAW MY LIFE  🅴🆅🅰 🆂🅴🆇🆈 🆂🆃🆁🅸🅼🅴🆁.	https://clips-media-assets2.twitch.tv/25008546640-offset-7736-preview-480x272.jpg
