20:03:21 (00:02:57) (chat)  gromthinker_hs: HeyGuys HeyGuys HeyGuys
20:03:22 (00:02:57) (chat)  ChlamydiaEvgrafovna: @AlexFAS29 wlgHype wlg5
20:03:24 (00:02:59) (chat)  doberman4ik_: @WELOVEGAMES Что ты думаешь о великом? Keepo
20:03:24 (00:03:00) (chat)  bobuika: @lionspb питерский! wlg5
20:03:25 (00:03:00) (chat)  Darmshtadyi: wlgHype
20:03:27 (00:03:02) (chat)  princessintears: @aleksi_13, @lionspb wlgHype wlgHype
20:03:30 (00:03:06) (chat)  Ed_Amosha: !sub
20:03:30 (00:03:06) (chat)  Nightbot: Вы можете оформить платную подписку на наш канал по ссылке: twitch.tv/products/welovegames
20:03:31 (00:03:06) (chat)  maj0r_Kusanagi: Привет HeyGuys
20:03:31 (00:03:06) (chat)  julia_vi1: @ChlamydiaEvgrafovna @WCR_Dagger wlgHype
20:03:31 (00:03:06) (chat)  RyudjinKayo: @WELOVEGAMES А кто это тут у нас лапочка,стрим запустил?:3
20:03:31 (00:03:06) (chat)  aleksi_13: @LionSPb прветы)
20:03:32 (00:03:07) (chat)  doberman4ik_: Великий Я doberm3Sad
20:03:32 (00:03:08) (chat)  firestorm_cat: wlgMug wlgPled
20:03:33 (00:03:08) (chat)  LionSPb: @bobuika здравствуй wlg5 wlgOralb wlgFlowers
20:03:33 (00:03:09) (chat)  ChlamydiaEvgrafovna: @LionSPb wlgPizza wlg5
20:03:34 (00:03:09) (chat)  bobuika: @rupoll руполлстински wlgLuv
20:03:35 (00:03:10) (chat)  fullkawaii: Зфер - Фзщсфдшзенсф
20:03:37 (00:03:13) (chat)  Madflayd: DeAn Stranding
20:03:39 (00:03:14) (chat)  sternritter_: Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm
20:03:39 (00:03:14) (chat)  Blackchapel666: wlgGillette wlgGillette wlgGillette wlgGillette wlgNade
20:03:40 (00:03:15) (chat)  KaMyI__I__IeK: чумазики bleedPurple
20:03:40 (00:03:15) (chat)  NozkaStula: Гениально !!! lfs420
20:03:40 (00:03:16) (chat)  princessintears: @julia_vi1, wlgHype
20:03:40 (00:03:16) (chat)  LionSPb: @princessintears привет wlg5 wlgOralb wlgFlowers
20:03:41 (00:03:16) (chat)  kawa_blelele: wlgAsm wlgAsm wlgAsm
20:03:42 (00:03:18) (chat)  Anarchist1_1: tvjuiceHi tvjuiceHi tvjuiceHi
20:03:45 (00:03:20) (chat)  fullkawaii: Path - Apocaliptyca
20:03:46 (00:03:21) (chat)  aleksi_13: @princessintears првиет)
20:03:46 (00:03:21) (chat)  Mr_Gelo: @WELOVEGAMES Ну же, мы все в предвкушении - Яндекс или Деливери Клаб ??? PogChamp PogChamp
20:03:47 (00:03:22) (chat)  AlexFAS29: ну что побудем посыльными пару тройку часов
20:03:47 (00:03:23) (chat)  milacha: ВСем добрый вечер) wlg5 wlg5
20:03:48 (00:03:23) (chat)  princessintears: @nozkastula, BLELELE
20:03:49 (00:03:24) (chat)  DearNelissa: HYPERCLAP
20:03:49 (00:03:24) (chat)  LionSPb: @maj0r_kusanagi привет wlg5 wlgOralb
20:03:49 (00:03:25) (chat)  Warrange: та когда там уже Nuclear throne будут раздавать в епик гамес
20:03:50 (00:03:25) (chat)  pegas3x: wlgBored wlgBored wlgBored
20:03:50 (00:03:26) (chat)  Leona_kiki: aqulaLove aqulaLove aqulaLove aqulaLove
20:03:50 (00:03:26) (chat)  Rupoll: @bobuika wlgLuv
20:03:53 (00:03:28) (chat)  mrredbeat: wlgFlowers wlgFlowers wlgFlowers wlgFlowers wlgFlowers wlgFlowers wlgFlowers
20:03:55 (00:03:31) (chat)  LionSPb: @milacha здравствуй wlg5 wlgOralb
20:03:56 (00:03:31) (chat)  WELOVEGAMES: wlgFlowers wlgFlowers wlgFlowers
20:03:56 (00:03:31) (chat)  julia_vi1: @princessintears wlg5 wlgPled
20:03:59 (00:03:34) (chat)  swanky_moon: Щас будет эпик прохождение
20:03:59 (00:03:34) (chat)  elaych1k: wlg5 elaychCoolstory
20:03:59 (00:03:35) (chat)  ChlamydiaEvgrafovna: @milacha wlgCheers wlg5
20:04:01 (00:03:36) (chat)  AlexFAS29: wlgOralb wlgOralb wlgOralb wlgOralb
20:04:03 (00:03:38) (chat)  razial1: Денис там Алина уже украла идею с яндекс едой
20:04:03 (00:03:38) (chat)  bloogf: MorphinTime MorphinTime MorphinTime
